generation,MeanFitness,MaxFitness,moastery_score,grass_penalty,min_figure_count,grass_score,tile_type_score,tile_open_score,tile_close_score
0,13.0625,21,765,536,3,790,721,649,586
1,21.84375,63,1539,1132,4,2280,1300,1114,1094
2,27.90625,94,2804,1695,4,4052,2321,1691,2573
3,37.375,94,3349,2765,4,4089,4151,2337,4803
4,44.59375,94,3370,3707,3,5655,4884,2534,5922
5,50.40625,94,4923,4457,3,6467,5285,3006,6255
6,56.28125,94,6307,4206,3,6890,5713,2961,7487
7,59.53125,94,5952,5119,2,7938,5627,2497,8082
8,60.65625,95,6545,4885,2,7771,5911,2163,8278
9,70,101,7085,5984,2,8563,6141,2793,7385
10,73.03125,101,6602,5983,2,9021,6703,2481,7095
11,74.84375,101,5964,5741,2,9021,6902,2631,6191
12,76.71875,101,6277,5428,2,9188,6601,2327,5889
13,78.125,101,6277,5280,2,8949,6642,2581,5390
14,79.09375,101,6427,5280,2,8949,6496,2270,5396
15,81.65625,101,6332,4967,2,8854,6443,2299,4902
16,82.15625,101,6190,4343,2,8854,6443,2299,4601
17,82.59375,104,5877,4343,2,8949,6602,1953,4299
18,83.40625,104,5916,4967,2,8854,6280,2241,4902
19,83.6875,104,5916,5280,2,9021,6438,2241,4601
20,83.9375,104,5916,4967,2,9021,6292,2241,4305
21,85.59375,104,5603,4725,2,9260,6292,2219,4004
22,87.1875,104,6346,4794,2,9260,5803,2659,4726
23,87.1875,104,6346,4794,2,9260,5803,2659,4726
24,88.75,104,5902,4686,2,9499,5855,3056,4298
25,88.75,104,5902,4686,2,9499,5855,3056,4298
26,90.09375,104,5730,4998,2,9499,5855,3030,4304
27,90.5625,104,6042,4998,2,9499,5922,3030,4634
28,90.84375,104,6010,4998,2,9499,5922,3030,4634
29,90.84375,104,6010,4998,2,9499,5922,3030,4634
30,90.9375,104,6010,4686,2,9499,5922,2718,4634
31,91.5,104,6322,4686,2,9499,6214,2718,4936
32,91.5625,104,6200,4686,2,9499,6214,2636,4936
33,91.90625,104,6537,4686,2,9333,6380,2948,5533
