generation,MeanFitness,MaxFitness,moastery_score,grass_penalty,min_figure_count,grass_score,tile_type_score,tile_open_score,tile_close_score
0,16.28125,23,5922,399,1,470,618,539,542
1,19.5,34,5912,465,1,426,682,588,623
2,20.375,34,6086,547,1,393,683,670,724
3,21.125,34,6132,574,1,363,690,698,794
4,21.84375,34,5988,648,1,325,665,675,841
5,21.84375,34,5988,648,1,325,665,675,841
6,22.21875,34,6404,673,1,305,681,797,843
7,22.59375,34,6481,649,1,273,681,788,848
8,22.84375,34,6691,623,1,258,690,844,859
9,23.78125,34,6421,679,1,226,691,874,839
10,24.15625,34,5796,734,1,203,693,840,831
11,24.25,34,6081,726,1,210,693,825,834
12,25.0625,34,5769,772,1,190,705,798,838
13,25.40625,34,5506,833,1,191,705,720,843
14,25.40625,34,5506,833,1,191,705,720,843
15,25.40625,34,5506,833,1,191,705,720,843
16,25.75,34,5221,823,1,186,696,765,840
17,25.75,34,5221,823,1,186,696,765,840
18,26.4375,34,4815,827,1,173,725,802,823
19,26.78125,34,4552,801,1,170,749,823,823
20,27.125,34,4304,801,1,167,730,805,827
21,28.5,34,3577,866,1,145,758,738,832
22,28.84375,34,3341,887,1,138,800,750,816
23,29.1875,34,3028,898,1,133,811,767,816
24,29.53125,34,2780,931,1,129,834,767,811
25,30.53125,34,1882,967,1,117,884,760,822
26,30.53125,34,1882,967,1,117,884,760,822
27,31.5625,34,1329,976,1,101,886,734,815
28,32.25,34,1017,1021,1,100,932,751,826
29,33.28125,34,344,1042,1,87,1008,714,825
30,33.3125,34,344,1042,2,88,1008,707,827
31,33.65625,34,145,1033,2,82,1031,676,839
32,33.65625,34,145,1033,2,82,1031,676,839
33,33.65625,34,145,1033,2,82,1031,676,839
34,34,34,1,1033,2,77,1021,676,826
35,34,34,1,1033,2,77,1021,676,826
36,34,34,1,1033,2,77,1021,676,826
37,34,34,1,1033,2,77,1021,676,826
38,34,34,1,1033,2,77,1021,676,826
39,34,34,1,1033,2,77,1021,676,826
40,34,34,1,1033,2,77,1021,676,826
41,34,34,1,1033,2,77,1021,676,826
42,34,34,1,1033,2,77,1021,676,826
43,34,34,1,1033,2,77,1021,676,826
44,34,34,1,1033,2,77,1021,676,826
45,34,34,1,1033,2,77,1021,676,826
46,34,34,1,1033,2,77,1021,676,826
47,34,34,1,1033,2,77,1021,676,826
48,34,34,1,1033,2,77,1021,676,826
49,34,34,1,1033,2,77,1021,676,826
50,34,34,1,1033,2,77,1021,676,826
51,34,34,1,1033,2,77,1021,676,826
52,34,34,1,1033,2,77,1021,676,826
53,34,34,1,1033,2,77,1021,676,826
54,34,34,1,1033,2,77,1021,676,826
55,34,34,1,1033,2,77,1021,676,826
56,34,34,1,1033,2,77,1021,676,826
57,34,34,1,1033,2,77,1021,676,826
58,34,34,1,1033,2,77,1021,676,826
59,34,34,1,1033,2,77,1021,676,826
60,34,34,1,1033,2,77,1021,676,826
61,34,34,1,1033,2,77,1021,676,826
62,34,34,1,1033,2,77,1021,676,826
63,34,34,1,1033,2,77,1021,676,826
64,34,34,1,1033,2,77,1021,676,826
65,34,34,1,1033,2,77,1021,676,826
66,34,34,1,1033,2,77,1021,676,826
67,34,34,1,1033,2,77,1021,676,826
68,34,34,1,1033,2,77,1021,676,826
69,34,34,1,1033,2,77,1021,676,826
70,34,34,1,1033,2,77,1021,676,826
71,34,34,1,1033,2,77,1021,676,826
