switching_players_count,MeanFitness,moastery_score,grass_penalty,min_figure_count,grass_score,tile_type_score,tile_open_score,tile_close_score
0,112.53125,9754,962,2,9666,9436,3449,9558
1,11,7430,6258,2,14365,10243,5833,8309
2,2.6875,10819,2655,2,22762,4433,6000,9356
3,-18.6875,10835,4351,2,25783,6657,4394,9135
4,-1.71875,10949,4031,3,41937,7194,7302,6375
5,-1.46875,5396,7149,2,53009,7050,8062,7025
6,-8.6875,7675,6834,2,70571,8005,5875,7686
7,-7.5625,4688,6420,2,102664,8197,6020,9841
8,-9.28125,9571,5003,2,103376,8367,5062,8186
9,-14.4375,6792,6502,2,100973,8075,5168,7679
10,-10.90625,5864,9455,2,148811,8006,6024,4385
11,-3.59375,6634,9869,2,208897,8740,5517,7450
12,-8.21875,6532,7481,1,220046,5840,6494,7598
13,-10.96875,9813,10000,2,20738,9994,5008,9523
14,9.25,6287,6380,2,26426,7594,6460,8955
15,4.46875,4075,5740,2,44487,7553,5264,7560
16,6.4375,5863,6610,2,71639,6745,5460,5979
17,-6.875,8237,6193,2,112172,8857,5016,8880
18,-15.625,7682,7303,1,141961,7917,5749,8199
19,-12.78125,8844,10437,3,68616,9785,6340,4142
20,-9.09375,5514,9107,2,94172,9476,6443,7232
21,-6.65625,7849,7977,2,99029,6032,5791,7989
22,-4.125,8913,10114,1,30419,3748,7711,9457
23,-9.46875,6986,8390,2,50511,6651,8705,7892
24,-14.6875,5725,6591,2,56770,6820,6519,9144
25,-4.53125,6515,8710,2,74753,7956,4926,9001
26,-6.65625,7033,8843,2,60664,8193,4875,8271
27,-6.78125,8450,8316,2,63415,9746,6710,8741
28,2.8125,5737,4819,1,102895,10224,4995,9853
29,-13.15625,8756,7517,3,92367,9272,6913,10802
30,-17.40625,4460,8964,2,83062,6753,4717,9212
31,-4.96875,5651,6555,2,106575,7712,6467,8995
32,-9.03125,6963,7956,2,164973,8609,5858,9612
33,-19.1875,4991,7695,3,77772,9970,5519,4841
34,-4.875,7227,10000,2,93258,8697,8221,9304
35,-1.6875,8540,8345,1,54573,7162,5872,8312
36,-14.65625,5723,8532,2,76497,8580,6100,7433
37,-7.3125,8225,10492,2,66694,7055,7703,7715
38,-5.8125,7171,8715,2,68472,8260,6292,8929
39,-2.5,7217,10861,1,58604,8906,5706,8300
40,-10.78125,5888,9931,2,58216,9505,5937,9077
41,-2.84375,7243,7606,2,64738,9037,6292,7717
42,-3.03125,6176,6585,2,74627,9137,4921,8934
43,-2.625,8525,7789,2,29499,9060,5884,9901
44,8.6875,3315,3266,2,40945,6358,5496,9866
45,-6.5,7635,6194,2,44027,9107,5011,8048
46,2.84375,6199,6514,2,59511,10072,7189,5399
47,-8.875,8349,8928,2,57945,9408,5532,7117
48,-5.5625,7447,7772,2,64629,7894,7120,7621
49,-4.25,4866,8754,2,76558,9710,5318,5671
50,-6.71875,6676,8307,2,55844,10000,5708,5962
51,-8.5625,7379,11246,2,66044,8123,5061,8389
52,-1.4375,8268,7629,2,82737,9402,6092,8453
53,1.84375,3627,9053,2,122142,9794,4071,7957
54,-8.90625,5777,8159,3,132318,7639,5366,9095
55,-11.375,6665,10180,2,15362,1349,3395,10000
56,0.78125,8929,8209,2,24720,3151,5093,9734
57,-5.75,5533,9143,2,34324,7084,6394,9070
58,-16.28125,6303,10651,2,39926,9048,9025,9651
59,-5.25,6261,8226,3,66127,9288,6438,9480
60,-2.40625,5360,10836,2,54089,4710,8200,9644
61,-9.875,7668,7237,2,54804,7905,6549,9654
62,-13.3125,3418,9052,2,56583,8251,6550,7618
63,-6,4865,8242,2,67351,10337,5885,7391
64,-8.5625,7379,9120,2,80146,5756,4720,8765
65,-7.21875,8157,7671,2,101133,6635,6588,10370
66,-12.28125,9116,8059,2,128849,8797,5625,6598
67,-7.59375,7585,7460,2,144603,9041,6761,7828
68,-12.34375,8031,8199,2,201261,8640,6089,6415
69,-5.40625,7017,10703,2,214205,9236,6404,7847
70,0.21875,9730,9046,2,229296,5464,6511,8007
71,-12.5625,9593,7828,2,277968,5627,5255,10084
72,-10.3125,7957,9746,2,381155,8147,5695,5651
73,-1.875,8286,9902,2,428526,7073,4790,6210
74,0.3125,8700,9056,1,436817,8128,5483,8403
75,-2.53125,8459,9285,1,449148,6292,7454,8329
76,-8.21875,5874,10746,1,358987,5721,5815,7235
77,-3.09375,7047,9099,2,328854,7609,5662,8739
78,-5.34375,6133,8200,2,362223,5199,6618,8408
79,-9.4375,6098,9231,2,494173,6569,5559,7765
80,-10.6875,8431,7928,2,429903,7558,6576,9010
81,-10.53125,5957,7581,2,524690,7967,4922,5092
82,3.8125,8108,9271,2,705208,8119,6883,8133
83,-3.75,5122,7608,2,766009,5958,4835,6928
84,-8.28125,7976,8539,2,651624,7956,6388,7747
85,-7.1875,4421,8628,2,859684,7750,6251,6700
86,-5.34375,4476,9890,2,965380,7269,8206,7144
87,-4.96875,5614,10159,2,1372703,7720,5831,5920
88,-4.21875,6793,11585,2,1892796,7954,7004,7342
89,-0.9375,6033,9943,2,1942041,5531,7026,8099
90,-8.5625,8020,9245,2,1491509,8137,6842,6639
91,-1.125,7352,9816,2,1595323,7897,6059,6344
92,1.25,6232,11635,2,2034732,8285,6299,6473
93,-4.34375,5844,8995,2,1880264,7128,5049,6362
94,-5.84375,7664,7376,1,1984099,8230,4651,6886
95,-6.75,6433,7952,2,1831076,8027,5709,5708
96,0.34375,8294,7939,2,2279507,6911,5542,7774
97,-5.90625,6448,6537,2,2325207,7204,7020,8399
98,-6.09375,4758,8323,2,3281555,6727,8275,7127
99,-2.875,5264,8612,2,3609709,7250,4783,4871
100,0.46875,4644,7661,2,4481472,8448,5069,5249
101,-0.03125,5309,8683,2,7380781,7818,4483,5603
102,2.625,5412,9428,2,8982825,6978,5456,5299
103,4.0625,4025,9412,1,11845543,7104,5803,5559
104,-1.875,2708,9077,2,11788263,6810,6486,6903
105,-1.40625,2987,10268,2,13852803,8519,6302,5459
