move_number,ai_wins,best_utc,node_sim_count,rollout_count,node_count
0,2,0.9857532055892997,13,90,93322
1,39,1.0303090519346223,61,106,92173
2,1,0.9724807863147913,12,115,109758
3,26,0.986645814439751,48,116,118447
4,1,0.9740947827189557,12,117,112767
5,16,0.988076605199197,34,95,120149
6,1,0.9724807863147913,12,115,110496
7,24,1.0114224496666355,43,83,110295
8,1,0.9708354598651603,12,113,111891
9,38,1.0690162026902927,57,101,106905
10,1,0.9620947059553506,12,103,115414
11,17,0.9951634396188174,35,94,116363
12,1,0.9656992476185103,12,107,106285
13,71,1.084814599377384,93,122,110795
14,1,0.9708354598651603,12,113,101237
15,13,1.0031638230747484,29,87,109624
16,1,0.9656992476185103,12,107,99316
17,81,1.0691198418072188,105,105,93039
18,1,0.9740947827189557,12,117,95228
19,34,1.0755449194403166,52,102,104459
20,1,0.9895251557363397,11,85,91590
21,44,1.0776864676129627,63,93,100193
22,1,0.9895251557363397,11,85,89769
23,45,1.066576276277887,65,95,100506
24,1,0.9895251557363397,11,85,89462
25,57,1.1633222880746654,71,101,98610
26,1,0.9941638925266512,11,89,90211
27,90,1.1366146721907489,107,107,89108
28,1,0.9918741708905264,11,87,88887
29,93,1.0801437676135213,117,117,89156
30,1,0.9740947827189557,12,117,90436
31,36,1.0645820857913009,55,102,94055
32,1,0.9639159864795116,12,105,85648
33,79,1.1458008299247382,95,109,87840
34,1,0.9656992476185103,12,107,86353
35,101,1.1321070066067953,119,119,86034
36,1,0.9639159864795116,12,105,86637
37,92,1.0715967590665127,117,117,85109
38,1,0.9740947827189557,12,117,83713
39,46,1.002540727811682,72,117,93056
40,1,0.9817322927753027,12,127,89084
41,80,1.1608810657974575,95,125,95261
42,1,0.9756785764816536,12,119,85615
43,72,1.0078373981474382,103,136,88510
44,1,0.9860027304351581,12,133,89299
45,146,1.1159912347028427,168,168,87330
46,1,0.9939403441444702,12,145,86520
47,68,1.1541742700023012,84,147,92202
48,1,0.9646528125002511,13,168,85794
49,180,1.1504062394521009,196,196,91683
50,1,0.9656773845765798,13,170,84566
51,168,1.1582878471905722,183,197,83829
52,1,0.9770313837309335,13,194,83968
53,168,1.1599506383087093,183,212,82194
54,1,0.9825557340019069,13,207,82207
55,208,1.0646974394009905,244,244,81286
56,1,0.9932650284907796,13,235,80634
57,266,1.0297021130636295,317,317,80481
58,1,0.9788149291357582,14,319,80049
59,80,0.9971231438683494,117,313,77568
60,1,0.9942950950274744,14,389,75364
61,164,1.0048709165003822,214,441,72857
62,1,0.9836321982457037,15,549,74269
63,112,1.0007990932273156,156,514,73349
64,1,0.9936948054823644,15,631,71452
65,34,0.9921923110635926,63,634,70195
66,1,0.9897476884706417,16,973,73582
67,70,0.9945487647527247,111,1560,74110
68,1,0.9778379074198484,18,2117,75414
69,44,0.993381109523714,84,10548,73123
70,1,0.11673434010906306,1963,575120,296
