move_number,ai_wins,best_utc,node_sim_count,rollout_count,node_count
1,106,0.681622303284158,159,259,30178
3,54,0.9895123317561813,56,262,36031
5,57,0.9906869963687297,59,263,34010
7,101,0.9989645827410194,103,230,31842
9,117,1.0004380173834415,119,252,37042
11,48,0.9863726452305214,50,229,20352
13,110,1.0086840221495956,111,228,34821
15,161,0.9961200620822966,164,205,33322
17,103,0.9992434668498501,105,242,22003
19,212,1.0127164564598696,212,212,33758
21,159,0.9959146388610454,162,195,42052
23,202,1.0080164548260175,203,203,39711
25,153,1.0150579325706717,153,226,50966
27,214,1.0126679827662157,214,214,45945
29,251,1.0118696269136607,251,251,36887
31,216,1.0126201231521657,216,216,52056
33,207,1.0128404178218657,207,207,47693
35,209,1.0127903483371832,209,209,50460
37,211,1.012740927829764,211,211,53895
39,257,1.0117553013031955,257,257,43472
41,181,1.0135578117581365,181,181,58120
43,197,1.013101033373417,197,197,60467
45,167,1.014004952160816,167,167,49840
47,208,1.012815301046557,208,208,57502
49,288,1.0112180018820307,288,288,51370
51,189,1.0133228492305912,189,189,61551
53,261,1.0116810962665321,261,261,60446
55,161,1.0142124492571682,161,161,80527
57,254,1.0118120016553496,254,254,74085
59,347,1.010386712664552,347,347,69378
61,316,1.0107968511242504,316,316,72857
63,223,1.0124572631464621,223,223,76672
65,231,1.0122794787717653,231,231,83695
67,7256,1.0028001549794556,7256,7256,40908
69,374,0.9977630505367135,380,54473,27160
