move_number,ai_wins,best_utc,node_sim_count,rollout_count,node_count
0,2,0.9718609405131948,14,123,107186
1,56,1.2971609196486769,62,123,109586
2,1,0.972030538286345,13,183,136633
3,168,1.156605796136971,183,183,133941
4,1,0.9779072113862612,13,196,137388
5,204,1.1395046619526799,222,222,141707
6,1,0.9884767610084879,13,222,142789
7,204,1.1395046619526799,222,222,140453
8,1,0.9884767610084879,13,222,140907
9,204,1.1395046619526799,222,222,141418
10,1,0.9914584367956274,13,230,142565
11,192,1.1447296939410507,209,209,135144
12,1,0.9833718422468725,13,209,135223
13,168,1.156605796136971,183,183,127633
14,1,0.972030538286345,13,183,127600
15,204,1.1395046619526799,222,222,132355
16,1,0.9884767610084879,13,222,132061
17,204,1.1395046619526799,222,222,129922
18,1,0.9884767610084879,13,222,130691
19,216,1.1346727753871286,235,235,131630
20,1,0.9932650284907796,13,235,131850
21,228,1.1301858306983614,248,248,128126
22,1,0.9977724917138775,13,248,130964
23,260,1.1255629816673949,281,281,131114
24,1,0.9687779926387426,14,281,131172
25,286,1.1181742299754618,309,309,127441
26,1,0.9763050277025064,14,309,127670
27,260,1.1255629816673949,281,281,126981
28,1,0.9687779926387426,14,281,126723
29,312,1.111638843297953,337,337,128963
30,1,0.9831244218169244,14,337,128899
31,273,1.121750296772812,295,295,121837
32,1,0.9726387014983099,14,295,121630
33,286,1.1181742299754618,309,309,118108
34,1,0.9763050277025064,14,309,118169
35,299,1.1148106683480639,323,323,116652
36,1,0.979795038714061,14,323,116318
37,325,1.108640753098015,351,351,113580
38,1,0.98630688230825,14,351,113484
39,312,1.111638843297953,337,337,115434
40,1,0.9831244218169244,14,337,114974
41,203,1.100033085487831,230,230,113582
42,2,0.9847194195849939,15,230,112608
43,364,1.1005413379643416,393,393,115246
44,1,0.995086325095749,14,393,116748
45,364,1.1005413379643416,393,393,110902
46,1,0.995086325095749,14,393,110750
47,434,1.0936940508915167,466,466,111019
48,1,0.9716403377432815,15,466,110926
49,462,1.0896254344597227,496,496,109000
50,1,0.9762234481666862,15,496,108593
51,518,1.082418432354054,556,556,107483
52,1,0.9845526016444806,15,556,107367
53,560,1.0776800941068376,601,601,104691
54,1,0.9901862068941579,15,601,104673
55,602,1.0734066882474032,646,646,104430
56,1,0.995382290334282,15,646,104099
57,780,1.0634243947708661,833,833,104053
58,1,0.9778970444466538,16,817,101266
59,855,1.0586537656164434,913,913,95339
60,1,0.9854488898605809,16,913,95062
61,1168,1.0475126806535524,1242,1242,97549
62,1,0.9750765984853866,17,1259,97556
63,1488,1.0370699522846927,1582,1582,94595
64,1,0.9896182867147283,17,1582,94567
65,2279,1.023990629299112,2415,2415,95986
66,1,0.9941891404069242,17,1701,70974
67,3123,1.002033252689687,3357,5658,83015
68,34,0.20486545022461997,867,147085,49242
69,693377,1.0060178378207723,693522,693522,299
70,1,0.05986982427357649,7809,1132205,146
