move_number,ai_wins,best_utc,node_sim_count,rollout_count,node_count
1,15,1.0073341375026053,31,70,91582
3,15,0.9949081684822815,32,84,109791
5,26,0.9938375217796767,47,96,112736
7,36,0.9976388293774676,60,115,113919
9,36,0.9996926532466441,59,88,110538
11,36,1.0064799887016156,59,103,110293
13,57,1.1637068839221287,71,102,111043
15,36,0.9938085344483947,60,105,105090
17,22,1.2107532407108321,32,80,103195
19,6,0.9986224803302497,19,84,102164
21,72,1.0038781552276121,103,120,100590
23,73,1.0135868930916898,103,120,100544
25,58,0.996887740607979,87,115,99698
27,15,0.9876854438466165,33,109,99392
29,13,1.0129592381971224,29,102,99622
31,16,1.0063428877092053,33,89,96977
33,22,0.9963876148705579,42,109,98669
35,16,1.0210245730011513,33,115,98453
37,6,0.9827906513350666,20,106,95981
39,16,0.9993022471061663,34,116,98135
41,16,1.0238904080425213,33,121,98112
43,28,1.0018745213929288,50,132,97573
45,6,0.9935943393437618,20,123,95487
47,6,0.9721311634129952,21,141,95870
49,14,1.0002706789376536,32,159,95547
51,6,0.9942612302689956,21,195,95424
53,6,0.9942612302689956,21,195,93185
55,6,0.9731513297606397,22,221,96151
57,6,0.9887899423438548,22,282,96180
59,6,0.9967676384310491,22,320,84440
61,6,0.9939522710962563,23,484,83447
63,20,0.9847693901200364,45,714,84636
65,6,0.9780616441896411,25,908,84224
67,6,0.992262917846225,26,1883,79865
69,66,0.25379111592593123,812,177395,40278
