move_number,ai_wins,best_utc,node_sim_count,rollout_count,node_count
1,44,1.0713335276049056,63,80,92153
3,60,1.0850980856558468,81,122,108906
5,103,1.119560774673681,123,134,117587
7,79,1.1487267693799643,95,119,112761
9,57,1.1739162291690477,71,133,114991
11,123,1.1235586378761442,143,143,110360
13,66,1.2714683832547975,73,138,113709
15,116,1.191901737753394,127,138,107600
17,99,1.2101868323877671,109,144,106569
19,99,1.212608528834569,109,156,103374
21,67,1.2726053831823556,74,147,106060
23,84,1.2496945312174037,92,184,103620
25,84,1.2496945312174037,92,184,102746
27,120,1.197857590763523,131,182,101923
29,156,1.1649127431571409,170,181,100747
31,158,1.1529663083608253,174,185,102658
33,132,1.1888983424912105,144,208,101773
35,97,1.2328174263744383,106,211,101316
37,97,1.2328174263744383,106,211,96332
39,130,1.2048336235885233,141,282,99382
41,131,1.204473721512083,142,283,100316
43,156,1.185547825056678,169,338,103916
45,208,1.1533621477969076,225,364,104768
47,170,1.1772297044928302,184,367,101806
49,210,1.161769751687519,226,452,102285
51,220,1.1605934735063477,236,472,99711
53,238,1.1504185412831847,256,512,93943
55,280,1.1364212690382212,301,602,99003
57,345,1.1241230981267767,369,738,95987
59,420,1.109426802446411,449,898,85605
61,510,1.0959611450419162,545,1090,85183
63,656,1.0838511143498843,698,1396,83749
65,969,1.0653835348896854,1027,2054,86219
67,1872,1.0383875961794615,1977,3937,87942
69,249527,1.0093792270467103,249744,498075,642
