move_number,ai_wins,best_utc,node_sim_count,rollout_count,node_count
0,2,0.9804527085495347,13,85,89173
1,22,1.0166579636427482,40,78,90638
2,1,0.9787597751007084,12,123,106206
3,82,1.0828841272690335,105,120,116231
4,2,0.9629710655350958,14,111,110612
5,36,1.011529662286691,59,116,112813
6,1,0.9740947827189557,12,117,108247
7,36,0.9946060330740816,60,107,118961
8,1,0.9787597751007084,12,123,110007
9,36,0.9972727071950735,60,114,115406
10,1,0.9756785764816536,12,119,108976
11,16,0.9926502836728176,34,103,118806
12,1,0.9639159864795116,12,105,105637
13,26,0.9976844250971492,47,104,114322
14,1,0.9952874035244803,11,90,103558
15,103,1.0729002897192825,129,129,113446
16,1,0.9691576126716547,12,111,104463
17,26,0.9928200902185036,47,94,111916
18,2,0.9847197257847009,13,89,101218
19,66,0.9994634607394584,96,107,99940
20,1,0.9674459859563564,12,109,97927
21,69,1.1674954781024593,83,109,101018
22,1,0.9639159864795116,12,105,100311
23,48,1.064711331054824,69,110,96169
24,1,0.9639159864795116,12,105,97208
25,99,1.204337708956023,109,119,98194
26,1,0.9756785764816536,12,119,97849
27,110,1.1929173318240296,121,131,97066
28,1,0.9756785764816536,12,119,96789
29,121,1.1831084166006023,133,144,94702
30,1,0.9846032719578597,12,131,96918
31,132,1.1723064138417536,145,145,100475
32,1,0.9656773845765798,13,170,102060
33,121,1.1831084166006023,133,144,96452
34,1,0.9939403441444702,12,145,96086
35,99,1.212608528834569,109,156,96717
36,1,0.9939403441444702,12,145,96898
37,68,1.2716581045811264,75,148,95331
38,1,0.9939403441444702,12,145,96034
39,121,1.1834874621580889,133,146,95507
40,2,0.9870749106447074,14,147,96663
41,108,1.2114042947445436,118,177,95330
42,2,0.9997711053751841,14,171,96406
43,168,1.1579386715715039,183,194,95801
44,2,0.9675019236170281,15,185,94473
45,77,1.246072441380965,85,137,72256
46,1,0.9833718422468725,13,209,96918
47,132,1.1904400029723974,144,221,94848
48,1,0.9833718422468725,13,209,95775
49,168,1.1626426504527698,183,239,95681
50,1,0.9932650284907796,13,235,95468
51,182,1.1640325786728734,197,294,92828
52,2,0.9649212740400249,16,283,92847
53,156,1.185547825056678,169,338,92478
54,2,0.9719105246954777,16,311,93264
55,221,1.144477033152094,239,322,92167
56,2,0.9751528147283781,16,325,91373
57,234,1.142769754791558,253,406,90348
58,2,0.9893697227893947,16,395,91098
59,266,1.1407501728435125,286,572,82056
60,2,0.978235612076771,17,543,80519
61,346,1.1240624502159737,370,739,81068
62,2,0.9989528703104619,17,738,82399
63,435,1.1069183044721507,465,930,80433
64,2,0.9846720646333254,18,963,81748
65,640,1.0853555655710307,681,1362,80297
66,2,0.9789719546641776,19,1414,81930
67,1343,1.049452141416011,1423,2828,80556
68,2,0.99064444279029,20,2793,80399
69,200029,1.0101112398571863,200276,396927,773
70,1,0.09955909810844588,2728,676485,249
