move_number,ai_wins,best_utc,node_sim_count,rollout_count,node_count
1,46,0.9914976057235472,72,88,87527
3,60,1.0853905388700091,81,123,110059
5,72,1.0046633093427557,103,123,114013
7,26,1.017220701253846,46,110,111601
9,57,1.1706261841370749,71,122,108591
11,26,0.9976844250971492,47,104,107339
13,16,0.9823902468393704,34,86,108570
15,48,0.9977593809829179,74,91,104966
17,61,1.004741284939496,90,123,102193
19,46,1.0144182202725198,71,118,102316
21,60,1.0810358593979783,81,109,100008
23,92,1.0715967590665127,117,117,94179
25,46,1.1817422077429252,59,118,92897
27,110,1.1929173318240296,121,131,92651
29,92,1.0715967590665127,117,117,90460
31,123,1.1235586378761442,143,143,89560
33,123,1.1235586378761442,143,143,88226
35,121,1.1834874621580889,133,146,90076
37,158,1.1125624996206451,181,181,94874
39,122,1.128219840697246,142,171,90264
41,160,1.0673184559111693,192,192,87899
43,134,1.1219036848364734,155,170,86825
45,158,1.1529663083608253,174,185,86281
47,168,1.1582878471905722,183,197,87008
49,150,1.0264708226165515,190,208,88092
51,180,1.1535159755283904,196,226,85098
53,228,1.1301858306983614,248,248,85079
55,260,1.1274131953416149,281,312,83860
57,169,1.1774464201532495,183,366,80780
59,280,1.133244496418748,301,495,73061
61,325,1.1219773913352586,349,573,69988
63,450,1.101285048803652,481,741,68696
65,735,1.0697731674536683,785,1090,68700
67,1258,1.0525104085037431,1333,2666,69514
69,208510,1.009939720060071,208759,416602,754
