move_number,ai_wins,best_utc,node_sim_count,rollout_count,node_count
1,82,0.5306943967016602,159,262,28192
3,13,0.9790591033475109,14,264,28835
5,71,0.994720194212545,73,265,34918
7,22,0.9957329280895125,23,251,38202
9,89,0.9978382706793735,91,266,38751
11,55,0.9897094815668357,57,239,35093
13,251,1.0119788617154755,251,278,32341
15,150,0.9956798962823105,153,267,36597
17,256,1.0039846643630626,258,258,36652
19,265,1.011635523554768,265,272,44448
21,281,1.0113321684725773,281,281,44210
23,153,1.0152354263253733,153,257,42370
25,56,0.9906266193345203,58,303,48911
27,57,0.9909829402157124,59,301,45114
29,140,0.9948963140273351,143,279,54499
31,174,0.9972548237621878,177,265,50540
33,243,1.0120280182573478,243,243,56474
35,226,1.012389587405785,226,226,54758
37,214,1.0127217774010706,214,224,46730
39,159,0.9962127351551726,162,243,51889
41,169,0.9969767949679889,172,267,50316
43,177,0.9974326470824468,180,268,50478
45,224,1.0079675645386346,225,225,48391
47,228,1.0123451482097838,228,228,50656
49,253,1.0118311060375003,253,253,50136
51,290,1.0111860809301614,290,290,51659
53,292,1.0111544610423635,292,292,49562
55,214,1.0126679827662157,214,214,52610
57,157,1.0143566875946144,157,157,69013
59,211,1.012740927829764,211,211,57506
61,260,1.0116995007188834,260,260,64988
63,188,1.0133514738532412,188,188,54629
65,221,1.0125030749683372,221,221,73888
67,267,1.0115726643259926,267,267,61752
69,504,0.999836787765915,510,45502,22885
